,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
88,TSLA250530P00365000,2025-05-23 19:59:47+00:00,365.0,27.8,26.6,27.95,0.42000008,1.5339668,190.0,177,0.5678754150390625,True,REGULAR,USD
89,TSLA250530P00367500,2025-05-23 15:09:34+00:00,367.5,32.99,29.2,30.45,7.8900013,31.434267,1.0,90,0.6091347680664063,True,REGULAR,USD
90,TSLA250530P00370000,2025-05-23 19:57:24+00:00,370.0,32.11,31.65,32.3,1.460001,4.7634616,216.0,574,0.6010782080078126,True,REGULAR,USD
91,TSLA250530P00372500,2025-05-23 19:59:49+00:00,372.5,33.55,33.6,34.75,1.5499992,4.8437476,19.0,68,0.5918009570312501,True,REGULAR,USD
92,TSLA250530P00375000,2025-05-23 19:59:56+00:00,375.0,35.1,36.2,37.0,-0.9000015,-2.5000043,154.0,195,0.6108437353515627,True,REGULAR,USD
93,TSLA250530P00377500,2025-05-23 19:50:17+00:00,377.5,38.0,36.8,40.85,0.5,1.3333334,35.0,73,0.5918009570312501,True,REGULAR,USD
94,TSLA250530P00380000,2025-05-23 19:59:09+00:00,380.0,41.47,39.65,43.25,1.670002,4.195985,159.0,615,0.6440465283203125,True,REGULAR,USD
95,TSLA250530P00382500,2025-05-23 19:50:17+00:00,382.5,42.7,41.9,44.6,3.4000015,8.651403,105.0,116,0.7773459765625,True,REGULAR,USD
96,TSLA250530P00385000,2025-05-23 19:47:01+00:00,385.0,45.6,43.85,48.05,4.3999977,10.6796055,20.0,67,0.57617611328125,True,REGULAR,USD
97,TSLA250530P00387500,2025-05-23 19:19:55+00:00,387.5,47.05,45.75,49.45,5.1499977,12.291163,35.0,14,0.8149432568359375,True,REGULAR,USD
98,TSLA250530P00390000,2025-05-23 19:34:13+00:00,390.0,49.9,48.9,52.8,1.8100014,3.7637792,36.0,87,0.5830119824218749,True,REGULAR,USD
99,TSLA250530P00392500,2025-05-23 13:31:34+00:00,392.5,58.15,50.95,55.35,11.210003,23.881557,1.0,21,1.0002491394042967,True,REGULAR,USD
100,TSLA250530P00395000,2025-05-22 13:35:52+00:00,395.0,60.81,53.4,57.8,0.0,0.0,3.0,45,1.0244189404296877,True,REGULAR,USD
101,TSLA250530P00397500,2025-05-21 15:24:05+00:00,397.5,53.2,55.9,60.25,0.0,0.0,1.0,2,1.0476121838378907,True,REGULAR,USD
102,TSLA250530P00400000,2025-05-23 19:53:58+00:00,400.0,60.63,58.2,61.6,7.080002,13.2212925,43.0,115,0.8906260937499999,True,REGULAR,USD
103,TSLA250530P00402500,2025-05-21 18:15:16+00:00,402.5,65.9,60.7,64.15,0.0,0.0,,10,0.9267585449218749,True,REGULAR,USD
104,TSLA250530P00405000,2025-05-21 17:44:05+00:00,405.0,66.8,63.25,66.6,0.0,0.0,15.0,16,0.9423833886718749,True,REGULAR,USD
105,TSLA250530P00410000,2025-05-23 17:44:24+00:00,410.0,69.0,68.4,71.5,5.799999,9.177214,2.0,160,0.9702151416015624,True,REGULAR,USD
106,TSLA250530P00412500,2025-05-22 14:57:50+00:00,412.5,73.46,70.6,74.05,0.0,0.0,,0,1.0058643457031249,True,REGULAR,USD
107,TSLA250530P00415000,2025-05-23 19:20:39+00:00,415.0,74.45,73.05,76.55,-2.6399994,-3.424568,150.0,46,1.0302782861328126,True,REGULAR,USD
