,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
129,TSLA250530C00580000,2025-05-22 18:07:49+00:00,580.0,0.01,0.0,0.01,0.0,0.0,206.0,490,1.3125034374999998,False,REGULAR,USD
130,TSLA250530C00590000,2025-05-21 19:24:53+00:00,590.0,0.01,0.0,0.01,0.0,0.0,41.0,420,1.3750031249999999,False,REGULAR,USD
131,TSLA250530C00600000,2025-05-22 19:02:14+00:00,600.0,0.01,0.0,0.01,0.0,0.0,48.0,984,1.40625296875,False,REGULAR,USD
132,TSLA250530C00610000,2025-05-20 19:48:39+00:00,610.0,0.02,0.0,0.01,0.0,0.0,69.0,177,1.4375028125,False,REGULAR,USD
133,TSLA250530C00620000,2025-05-22 13:32:26+00:00,620.0,0.01,0.0,0.01,0.0,0.0,14.0,208,1.46875265625,False,REGULAR,USD
134,TSLA250530C00630000,2025-05-22 13:37:12+00:00,630.0,0.01,0.0,0.01,0.0,0.0,1.0,50,1.5000025,False,REGULAR,USD
135,TSLA250530C00640000,2025-05-23 16:46:11+00:00,640.0,0.01,0.0,0.01,-0.01,-50.0,4.0,121,1.5625021874999998,False,REGULAR,USD
136,TSLA250530C00650000,2025-05-21 17:11:09+00:00,650.0,0.01,0.0,0.01,0.0,0.0,10.0,45,1.5625021874999998,False,REGULAR,USD
137,TSLA250530C00660000,2025-05-21 14:46:41+00:00,660.0,0.01,0.0,0.01,0.0,0.0,8.0,62,1.625001875,False,REGULAR,USD
138,TSLA250530C00670000,2025-05-21 13:33:06+00:00,670.0,0.02,0.0,0.01,0.0,0.0,1.0,70,1.65625171875,False,REGULAR,USD
139,TSLA250530C00680000,2025-05-16 15:53:53+00:00,680.0,0.03,0.0,0.01,0.0,0.0,16.0,16,1.6875015625,False,REGULAR,USD
140,TSLA250530C00690000,2025-05-20 15:14:21+00:00,690.0,0.01,0.0,0.01,0.0,0.0,4.0,11,1.71875140625,False,REGULAR,USD
141,TSLA250530C00700000,2025-05-23 13:30:00+00:00,700.0,0.07,0.0,0.01,0.060000002,600.0001,1.0,102,1.75000125,False,REGULAR,USD
